Shirley Bassey,Vrouw,Person
Kygo & Selena Gomez,?,Featuring
Ro-d-ys,Man,Group
Lov3less,?,Error'artist-relation-list'
The Shadows,Man,Group
Freiheit,Man,Group
Kygo Ft Miguel,?,Featuring
Donna Lewis,Vrouw,Person
Calvin Harris & Tom Grennan,?,Featuring
Lori Spee,Vrouw,Person
Robbie Robertson,Man,Person
Zedd & Maren Morris & Grey,?,Featuring
Bizarre Inc & Angie Brown,?,Featuring
David Guetta Feat. Kid Cudi,?,Featuring
John Waite,Man,Person
Ray Parker Jr. & Raydio,?,Featuring
The Turtles,Man,Group
Agnetha Fältskog,Vrouw,Person
Scritti Politti,Man,Group
John Secada,Man,Person
Alderliefste & Ramses Shaffy & Liesbeth List,?,Featuring
Mason,Man,Person
Van Der Goat Ft. Sikky Sombrero,?,Featuring
Martin Solveig Ft. Dragonette,?,Featuring
De Kast,Man,Group
Lloyd Cole & The Commotions,?,Featuring
The Cars,Man,Group
Crazy Town,Man,Group
Bobby Vinton,Man,Person
Janet Jackson & Q Tip & Joni Mitchell,?,Featuring
Lou Reed,Man,Person
Snoop Doggy Dogg,Man,Person
Cilla Black,Vrouw,Person
Zerb & Sofiya Nzau,?,Featuring
Bojoura,Vrouw,Person
Pearls,Man,Group
Jan Smit,Man,Person
Brothertiiger,?,Errorlist index out of range
Manhattans,?,Error'artist-relation-list'
Gossip,Man,Group
N-Trance,Man,Group
Icona Pop Ft. Charli Xcx,?,Featuring
Maydien & Mitchell Ward,?,Featuring
Shola Ama,Vrouw,Person
Maan x Goldband,Man,Group
John Sebastian,Man,Person
Avicii & Sandro Cavazza,?,Featuring
Prefab Sprout,Man,Group
LP,?,Error'Man?'
Aloe Blacc,Man,Person
Youp van 't Hek,Man,Person
Iyaz,Man,Person
