Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
New Radicals,You Get What You Give,2024-02-25T03:11:51,2024-02-25T03:14:51,False,10
SWV,Right Here/Human Nature,2024-02-25T03:12:06,2024-02-25T03:15:52,False,2
10cc,Wall Street Shuffle,2024-02-25T03:14:49,2024-02-25T03:18:22,False,Veronica
Libianca Feat. Cian Ducrot,People,2024-02-25T03:14:19,2024-02-25T03:17:20,False,3
Beyoncé,Texas Hold 'Em ,2024-02-25T03:14:11,2024-02-25T03:17:11,True,Q
Nothing But Thieves,Overcome,2024-02-25T03:14:45,2024-02-25T03:17:45,False,Sky
Players Association,Turn The Music Up,2024-02-25T03:15:42,2024-02-25T03:20:14,False,2
Earth & Fire,Memories,2024-02-25T03:15:11,2024-02-25T03:18:31,False,5
Leann Rimes,Can't Fight The Moonlight,2024-02-25T03:16:21,2024-02-25T03:19:21,False,10
Lost Frequencies,The Feeling,2024-02-25T03:17:12,2024-02-25T03:20:12,False,Q
Suzan & Freek & Claude,Vas-y (Ga Maar),2024-02-25T03:17:49,2024-02-25T03:20:49,False,Sky
Niall Horan,Heaven,2024-02-25T03:18:37,2024-02-25T03:21:41,False,Veronica
Daniel Powter,Bad Day,2024-02-25T03:18:28,2024-02-25T03:22:21,False,5
Horace Silver,Song For My Father,2024-02-25T03:20:08,2024-02-25T03:27:21,False,2
Saint Motel,My Type,2024-02-25T03:18:22,2024-02-25T03:21:45,False,3
Ace Of Base,All That She Wants,2024-02-25T03:19:46,2024-02-25T03:22:46,False,Q
Whitney Houston,Love Will Save The Day,2024-02-25T03:19:59,2024-02-25T03:22:59,True,10
Jessie J,Price Tag,2024-02-25T03:20:53,2024-02-25T03:23:53,True,Sky
Genesis,Jesus He Knows Me,2024-02-25T03:22:54,2024-02-25T03:27:10,False,Veronica
